state
P_A_FIN
P_A_PAS
P_A_PER
P_A_REC
P_D_PAS
P_D_PER
P_D_REC
P_M_FIN
P_M_PAS
P_M_PER
P_M_REC
S_A_FIN
S_A_PAS
S_A_PER
S_A_REC
S_D_PAS
S_D_PER
S_D_REC
S_M_FIN
S_M_PAS
S_M_PER
S_M_REC
