from_state,to_state,probability
S_A_PAS,P_D_PAS,0.008088
P_D_PER,P_A_REC,0.007785
P_A_REC,P_M_PAS,0.007728
S_M_REC,P_A_PAS,0.007360
S_D_PER,S_A_PAS,0.007331
S_D_PAS,S_A_PAS,0.007125
S_A_PAS,P_D_REC,0.006985
S_A_REC,S_A_PER,0.006834
P_D_REC,P_M_PAS,0.006816
P_A_FIN,S_M_REC,0.006579
S_A_PER,S_M_PER,0.006467
P_D_PAS,P_A_PAS,0.006359
P_A_REC,P_A_PER,0.006182
P_A_REC,S_D_PER,0.006182
S_A_FIN,S_M_PER,0.005900
P_D_REC,P_M_REC,0.005842
S_D_PAS,S_A_PER,0.005634
P_M_REC,S_D_PAS,0.005450
P_D_PER,P_A_PAS,0.005190
S_A_PAS,S_M_PER,0.004963
P_A_FIN,P_A_FIN,0.004934
P_A_FIN,P_D_REC,0.004934
P_A_REC,P_M_REC,0.004637
P_A_REC,S_M_REC,0.004637
S_M_REC,P_D_REC,0.004600
P_M_PER,P_D_REC,0.004585
P_M_PER,S_A_REC,0.004585
S_A_REC,P_M_PAS,0.004556
S_A_REC,S_M_PAS,0.004556
P_M_REC,P_D_PAS,0.004541
P_A_PAS,S_D_REC,0.004493
S_M_PER,P_A_PAS,0.004429
S_D_PER,S_A_PER,0.004399
S_D_REC,S_M_REC,0.004227
S_M_PAS,S_D_PER,0.003845
S_M_REC,P_D_PAS,0.003680
P_A_PAS,S_D_PAS,0.003667
P_M_REC,P_D_REC,0.003633
P_M_REC,S_D_REC,0.003633
P_M_PER,P_A_PER,0.003566
P_M_PER,S_A_PAS,0.003566
S_A_PER,P_M_PER,0.003527
S_M_PER,S_D_REC,0.003445
S_D_REC,S_M_PAS,0.003381
P_D_PAS,P_A_PER,0.003356
P_A_REC,S_M_PER,0.003091
P_M_PER,P_D_PAS,0.003057
S_D_PAS,P_A_PAS,0.002983
S_M_PER,S_A_PER,0.002953
S_M_PER,S_D_PAS,0.002953
P_A_PAS,P_M_PER,0.002934
S_M_PAS,P_M_PAS,0.002919
S_D_PAS,P_A_REC,0.002817
S_M_REC,S_D_PAS,0.002760
P_M_REC,P_A_PAS,0.002725
P_M_REC,S_A_PAS,0.002725
P_M_REC,S_A_REC,0.002725
P_M_REC,S_D_PER,0.002725
S_A_PAS,P_D_PER,0.002574
S_M_PAS,S_A_FIN,0.002563
P_M_PER,P_D_PER,0.002547
P_D_PAS,S_A_REC,0.002473
S_A_PAS,S_A_REC,0.002390
P_A_PER,P_A_FIN,0.002360
P_A_PER,P_D_PAS,0.002360
P_A_PER,S_M_PER,0.002360
S_M_PAS,P_M_REC,0.002207
P_A_PAS,P_A_REC,0.002017
P_M_PAS,P_A_FIN,0.001998
S_M_PER,S_D_PER,0.001969
P_D_PAS,S_M_PAS,0.001943
P_M_PAS,P_D_PER,0.001896
P_M_REC,P_A_REC,0.001817
S_A_PER,S_A_FIN,0.001764
S_A_PER,S_D_REC,0.001764
P_M_PAS,S_M_REC,0.001742
P_D_PER,S_A_FIN,0.001730
S_D_REC,P_M_PER,0.001691
S_D_REC,S_M_PER,0.001691
S_D_PAS,P_M_REC,0.001657
P_A_FIN,P_M_PER,0.001645
P_A_FIN,S_M_PER,0.001645
P_A_REC,S_M_PAS,0.001546
S_M_PAS,S_M_REC,0.001495
S_D_PAS,P_M_PAS,0.001491
S_M_PER,P_A_PER,0.001476
P_M_PAS,S_M_PAS,0.001332
P_D_PAS,S_A_PAS,0.001237
S_M_PAS,P_D_REC,0.001210
S_D_PAS,S_D_REC,0.001160
S_M_PAS,P_D_PAS,0.001068
P_D_PAS,S_M_REC,0.001060
P_M_PER,S_A_PER,0.001019
P_A_PAS,S_D_PER,0.001009
P_D_REC,P_M_PER,0.000974
S_M_REC,P_A_PER,0.000920
S_M_REC,P_A_REC,0.000920
S_M_REC,P_D_PER,0.000920
S_M_REC,S_A_FIN,0.000920
S_M_REC,S_A_PER,0.000920
S_M_REC,S_A_REC,0.000920
S_M_REC,S_D_REC,0.000920
P_M_REC,P_D_PER,0.000908
P_M_REC,P_M_FIN,0.000908
P_M_PAS,P_M_REC,0.000871
S_D_REC,P_A_FIN,0.000845
S_D_REC,S_A_FIN,0.000845
S_D_PER,P_A_FIN,0.000733
P_D_PAS,P_D_REC,0.000707
S_D_PAS,P_A_PER,0.000663
S_M_PAS,P_M_PER,0.000641
P_M_PAS,S_D_PAS,0.000615
S_A_PER,P_A_REC,0.000588
S_A_PAS,P_M_PAS,0.000551
S_A_PAS,P_M_REC,0.000551
S_A_PAS,S_M_REC,0.000551
P_D_PAS,S_A_PER,0.000530
P_M_PAS,S_D_REC,0.000512
P_M_PER,S_A_FIN,0.000509
S_D_PAS,P_M_PER,0.000497
S_M_PER,S_A_FIN,0.000492
P_A_PER,P_D_REC,0.000472
P_A_PAS,P_M_REC,0.000458
S_A_PAS,S_D_PAS,0.000368
S_M_PAS,P_D_PER,0.000356
P_D_PAS,S_D_REC,0.000353
S_D_PAS,S_M_REC,0.000331
P_A_PAS,P_D_PAS,0.000275
P_M_PAS,P_A_REC,0.000205
P_M_PAS,S_M_PER,0.000205
P_A_PAS,S_M_PAS,0.000183
P_A_PAS,S_M_REC,0.000183
P_D_PAS,P_A_FIN,0.000177
P_D_PAS,P_A_REC,0.000177
P_D_PAS,P_M_FIN,0.000177
P_D_PAS,P_M_REC,0.000177
P_D_PAS,S_M_PER,0.000177
S_D_PAS,P_D_REC,0.000166
S_M_PAS,P_A_REC,0.000142
S_M_PAS,S_A_REC,0.000142
S_M_PAS,S_D_REC,0.000142
P_M_PAS,P_D_REC,0.000102
P_M_PAS,P_M_FIN,0.000102
P_M_PAS,S_A_PAS,0.000102
P_A_PAS,P_D_PER,0.000092
P_A_PAS,P_D_REC,0.000092
S_M_PAS,S_M_FIN,0.000071
P_M_PAS,S_A_REC,0.000051
