from_state,to_state,count
P_M_PER_DES,P_D_REC_FAV,327
P_A_FIN_FAV,P_A_REC_FAV,324
P_M_PER_FAV,P_D_PER_DES,321
P_A_FIN_DES,P_A_PER_DES,318
P_A_FIN_FAV,P_M_PAS_DES,318
P_M_PER_FAV,P_M_PER_FAV,316
P_A_FIN_FAV,P_D_PAS_DES,315
P_D_PER_FAV,P_D_REC_FAV,314
P_A_PER_FAV,P_A_PER_FAV,311
P_M_PAS_FAV,P_A_FIN_FAV,308
P_A_PER_FAV,P_D_REC_DES,297
P_A_PER_DES,P_D_PER_FAV,292
P_A_PER_NEU,P_M_PAS_NEU,288
P_M_PAS_DES,P_M_REC_DES,278
P_A_FIN_DES,P_M_PAS_FAV,277
P_M_PER_NEU,P_M_REC_NEU,276
P_M_PER_FAV,P_D_REC_DES,268
P_A_PER_NEU,P_M_PAS_DES,264
P_M_PER_DES,P_D_PER_FAV,262
P_M_PER_FAV,P_A_PAS_FAV,260
P_A_FIN_DES,P_D_PAS_FAV,255
P_M_PAS_DES,P_D_REC_DES,253
P_A_PER_DES,P_M_PAS_NEU,250
P_D_PAS_FAV,P_A_PER_FAV,249
P_M_PER_DES,P_M_PAS_NEU,249
P_M_PER_FAV,P_A_REC_FAV,248
P_M_PER_NEU,P_M_PAS_DES,244
P_A_PER_FAV,P_D_REC_FAV,240
P_D_PAS_FAV,P_A_PAS_FAV,240
P_M_REC_DES,P_A_PER_DES,229
P_A_PER_DES,P_D_PAS_NEU,228
P_M_PER_DES,P_D_PAS_NEU,227
P_D_PER_DES,P_A_REC_DES,225
P_A_PAS_FAV,P_M_PER_FAV,222
P_A_REC_NEU,P_A_PAS_NEU,221
P_D_PER_FAV,P_M_PER_FAV,221
P_A_PAS_DES,P_D_PAS_DES,218
P_A_PER_NEU,P_D_PAS_DES,218
P_D_PER_DES,P_A_PAS_FAV,218
P_D_REC_FAV,P_M_PAS_FAV,218
P_A_FIN_FAV,P_M_PAS_FAV,216
P_A_PER_DES,P_M_REC_FAV,212
P_M_PAS_DES,P_M_PAS_FAV,205
P_M_PER_NEU,P_D_PAS_DES,204
P_M_PER_DES,P_A_PER_FAV,198
P_M_REC_FAV,P_A_PAS_FAV,198
P_A_PER_DES,P_A_PER_FAV,196
P_A_PER_FAV,P_A_PER_DES,196
P_A_PER_FAV,P_M_REC_DES,195
P_M_PER_DES,P_M_REC_FAV,194
P_D_PER_FAV,P_A_PAS_DES,187
P_M_PAS_FAV,P_M_PAS_DES,186
P_M_PAS_FAV,P_D_PAS_DES,180
P_M_PER_FAV,P_M_REC_DES,176
P_A_FIN_FAV,P_D_PAS_FAV,175
P_A_PER_NEU,P_M_REC_NEU,172
P_A_PER_FAV,P_M_PER_FAV,171
P_A_PER_NEU,P_A_PAS_NEU,169
P_A_FIN_FAV,P_D_REC_DES,167
P_A_FIN_FAV,P_A_PAS_FAV,166
P_M_PAS_NEU,P_D_PER_NEU,165
P_D_PER_NEU,P_M_PAS_NEU,163
P_M_PER_FAV,P_A_PER_DES,162
P_M_PER_FAV,P_D_PER_FAV,162
P_A_FIN_DES,P_M_PER_DES,154
P_D_PER_FAV,P_D_PER_DES,152
P_D_PAS_DES,P_D_REC_DES,151
P_A_REC_NEU,P_A_PER_NEU,150
P_D_PER_DES,P_D_REC_FAV,150
P_D_PER_NEU,P_M_REC_NEU,150
P_A_FIN_FAV,P_D_PER_DES,149
P_D_PER_DES,P_D_PER_FAV,147
P_A_PAS_DES,P_A_REC_DES,145
P_A_FIN_FAV,P_A_PAS_DES,143
P_M_PAS_DES,P_D_PAS_FAV,141
P_D_PER_DES,P_M_PAS_NEU,138
P_D_PER_FAV,P_D_REC_DES,138
P_M_PER_DES,P_A_PAS_NEU,135
P_A_FIN_DES,P_D_REC_FAV,130
P_A_PER_FAV,P_D_PER_FAV,130
P_D_REC_DES,P_M_PER_DES,129
P_A_PER_FAV,P_M_PER_DES,128
P_A_REC_DES,P_A_REC_DES,128
P_D_PER_FAV,P_D_PER_FAV,128
P_M_PER_FAV,P_M_PER_DES,126
P_M_PAS_DES,P_A_REC_DES,125
P_A_PER_DES,P_A_PAS_NEU,124
P_A_PER_DES,P_M_PER_FAV,123
P_M_PER_FAV,P_A_PER_FAV,123
P_A_REC_FAV,P_M_PAS_FAV,121
P_M_PER_DES,P_M_PER_FAV,118
P_M_REC_NEU,P_M_PER_NEU,117
P_D_PER_NEU,P_M_PAS_DES,116
P_A_PER_NEU,P_A_PAS_DES,112
P_A_REC_NEU,P_A_FIN_NEU,112
P_M_PER_NEU,P_D_PAS_NEU,112
P_A_FIN_DES,P_A_PAS_FAV,111
P_D_PER_NEU,P_D_PAS_DES,110
P_M_PER_NEU,P_A_PAS_DES,109
P_M_REC_DES,P_D_PER_DES,106
P_M_REC_FAV,P_D_PAS_FAV,106
P_D_PAS_DES,P_M_REC_DES,105
P_D_REC_NEU,P_D_PER_NEU,105
P_A_FIN_FAV,P_M_REC_FAV,104
P_M_PAS_FAV,P_A_PAS_DES,103
P_D_PAS_FAV,P_D_PAS_DES,101
P_D_PER_DES,P_M_REC_FAV,101
P_M_REC_DES,P_M_REC_DES,101
P_D_PER_FAV,P_A_PAS_FAV,100
P_D_PAS_FAV,P_M_PAS_DES,97
P_A_PER_NEU,P_A_PER_NEU,96
P_A_REC_DES,P_D_PAS_DES,96
P_D_PER_DES,P_A_PER_FAV,96
P_M_PAS_NEU,P_A_FIN_NEU,96
P_A_FIN_NEU,P_M_PAS_DES,95
P_A_PER_DES,P_A_FIN_DES,95
P_A_PER_DES,P_D_REC_NEU,95
P_A_PER_FAV,P_D_PAS_NEU,95
P_A_PER_FAV,P_M_PAS_NEU,95
P_D_PER_DES,P_D_PAS_NEU,95
P_M_PER_DES,P_D_REC_NEU,95
P_M_PER_NEU,P_D_PAS_FAV,94
P_A_PAS_DES,P_D_PER_DES,93
P_M_PER_NEU,P_D_REC_DES,93
P_A_FIN_DES,P_D_PER_FAV,92
P_A_FIN_FAV,P_M_REC_DES,92
P_M_PER_FAV,P_M_PAS_NEU,91
P_A_PER_NEU,P_D_REC_DES,90
