from_state,to_state,probability
P_A_FIN_DES,P_D_PAS_FAV,0.133120
P_A_PER_NEU,P_A_PAS_NEU,0.133059
P_A_PAS_NEU,P_M_PAS_NEU,0.130823
S_M_PER_DES,P_M_REC_FAV,0.129791
P_D_PER_DES,P_M_PAS_DES,0.129649
P_D_PER_FAV,S_M_PER_FAV,0.129505
S_D_PER_FAV,P_A_PAS_FAV,0.129002
S_M_PER_NEU,P_M_REC_FAV,0.128350
S_D_PER_NEU,P_M_PAS_FAV,0.127925
P_D_PAS_DES,P_M_PER_DES,0.122928
P_A_PER_FAV,P_A_REC_FAV,0.122890
P_D_PAS_NEU,P_M_PER_NEU,0.122886
P_A_PER_DES,P_A_REC_DES,0.119739
P_A_FIN_NEU,P_A_PAS_NEU,0.119584
S_D_PER_FAV,P_M_REC_FAV,0.119530
P_M_PER_NEU,P_M_PAS_NEU,0.119000
P_A_FIN_DES,P_D_PER_FAV,0.118743
P_M_PAS_DES,P_A_PAS_DES,0.118129
P_A_FIN_DES,P_A_REC_DES,0.117678
P_M_PAS_FAV,P_A_PAS_FAV,0.117674
P_M_FIN_FAV,P_A_PER_FAV,0.117647
P_M_PER_FAV,P_M_REC_FAV,0.117522
P_M_PAS_NEU,P_A_PAS_NEU,0.116516
S_A_PER_DES,P_D_PAS_DES,0.116279
P_A_FIN_NEU,P_A_REC_NEU,0.116118
P_M_PAS_NEU,P_M_PER_NEU,0.115509
P_D_PAS_DES,P_D_PER_DES,0.115326
S_A_PER_NEU,P_D_PAS_NEU,0.114943
S_A_REC_DES,S_A_FIN_DES,0.114286
P_M_PAS_DES,P_M_PER_DES,0.114214
S_M_PER_DES,P_M_REC_DES,0.114111
P_D_PAS_FAV,P_M_PER_FAV,0.113012
P_D_PAS_FAV,P_D_PER_FAV,0.110854
S_A_PER_DES,P_D_REC_DES,0.110465
P_D_REC_DES,P_M_PAS_DES,0.109292
S_M_REC_FAV,P_M_PAS_FAV,0.108915
P_D_PAS_NEU,P_D_PER_NEU,0.108879
P_M_PER_FAV,P_D_PAS_FAV,0.108444
P_M_PAS_FAV,P_M_PER_FAV,0.108004
P_D_PER_NEU,P_M_PAS_NEU,0.106726
P_A_PER_NEU,P_A_REC_NEU,0.106539
P_A_FIN_FAV,P_A_REC_FAV,0.106189
P_D_PER_DES,P_M_PAS_FAV,0.105029
P_A_FIN_FAV,P_A_PAS_FAV,0.104689
P_D_REC_NEU,P_M_PAS_NEU,0.104553
S_D_PER_DES,P_M_PAS_DES,0.104376
P_A_FIN_FAV,P_M_PAS_FAV,0.104008
P_A_FIN_DES,P_D_PAS_DES,0.103301
S_M_REC_FAV,P_M_REC_FAV,0.102941
S_D_PER_FAV,P_A_REC_FAV,0.102721
S_A_REC_FAV,P_D_REC_FAV,0.101911
P_A_FIN_NEU,P_D_PAS_FAV,0.100520
P_D_REC_FAV,P_M_PAS_FAV,0.100430
S_A_FIN_FAV,P_A_PER_FAV,0.100000
S_A_FIN_FAV,P_D_PER_FAV,0.100000
S_D_PER_DES,P_M_REC_FAV,0.099362
P_D_PER_DES,S_M_PER_FAV,0.099005
S_A_REC_FAV,S_A_PAS_FAV,0.098726
P_D_PER_NEU,S_M_PER_FAV,0.097758
S_M_PER_FAV,P_D_PAS_FAV,0.097446
P_A_FIN_DES,P_A_PAS_DES,0.096379
P_A_PER_DES,P_D_PAS_FAV,0.096078
P_A_PAS_FAV,P_A_FIN_FAV,0.094206
S_A_REC_NEU,P_D_PAS_FAV,0.093750
S_A_REC_NEU,S_M_PER_NEU,0.093750
P_D_PER_FAV,P_D_PAS_FAV,0.092839
S_D_PER_NEU,P_M_REC_FAV,0.092044
S_A_PER_NEU,P_D_PAS_DES,0.091954
S_M_PAS_DES,S_D_PER_DES,0.091653
P_A_PAS_DES,P_A_FIN_DES,0.091138
S_A_FIN_DES,P_D_REC_DES,0.090909
S_A_PAS_NEU,P_D_PAS_FAV,0.090909
S_A_PAS_NEU,P_D_PAS_NEU,0.090909
S_A_PAS_NEU,S_M_PER_NEU,0.090909
S_A_PER_FAV,P_D_PER_FAV,0.090909
P_A_PAS_NEU,P_A_FIN_NEU,0.090466
P_A_FIN_DES,P_A_PER_DES,0.089989
S_A_REC_FAV,P_D_PAS_FAV,0.089172
S_A_REC_FAV,S_A_FIN_FAV,0.089172
P_A_FIN_DES,P_D_PER_DES,0.088924
S_M_PER_FAV,P_M_PER_FAV,0.088796
S_M_PAS_FAV,S_D_PER_FAV,0.087475
P_A_PER_NEU,P_D_PAS_FAV,0.085963
S_D_PER_NEU,P_A_PAS_FAV,0.085803
P_A_PER_FAV,S_D_REC_FAV,0.085069
P_A_PER_FAV,P_D_REC_FAV,0.084993
P_A_FIN_NEU,P_A_PER_NEU,0.084922
S_M_PER_NEU,P_M_PAS_DES,0.084626
P_A_FIN_FAV,P_A_PER_FAV,0.084378
S_A_FIN_FAV,P_D_PER_DES,0.083333
S_A_FIN_FAV,P_D_REC_FAV,0.083333
P_M_PER_DES,P_M_REC_DES,0.082431
S_D_PER_DES,P_A_PAS_FAV,0.081586
P_M_PER_DES,P_M_PAS_FAV,0.081245
S_M_PER_NEU,P_M_PAS_NEU,0.080395
P_D_PER_FAV,P_M_REC_FAV,0.077875
P_A_PER_NEU,P_A_PER_NEU,0.077732
S_D_PER_DES,P_A_REC_FAV,0.075661
S_D_PER_NEU,P_M_PAS_NEU,0.074883
P_M_PAS_NEU,P_D_PAS_NEU,0.074472
P_D_PER_NEU,P_M_PAS_FAV,0.074439
P_M_PAS_DES,P_A_PER_DES,0.074218
P_D_PER_DES,S_M_PER_DES,0.074123
P_M_PER_DES,P_D_PAS_FAV,0.073239
P_M_PAS_NEU,P_A_PER_NEU,0.072459
P_A_PER_DES,P_A_PER_DES,0.072288
S_M_REC_DES,P_M_REC_FAV,0.071429
S_M_PER_DES,P_D_PAS_FAV,0.070993
S_M_PER_NEU,P_M_REC_DES,0.070522
P_M_PAS_FAV,P_D_PAS_FAV,0.070326
P_M_PAS_DES,P_D_PAS_DES,0.069618
S_M_PER_NEU,P_M_PER_FAV,0.069111
P_M_PAS_FAV,P_A_PER_FAV,0.069062
P_M_REC_NEU,P_A_PAS_NEU,0.068210
P_A_PER_FAV,P_A_PER_FAV,0.067622
P_A_FIN_NEU,P_D_PER_NEU,0.067591
P_A_PER_NEU,S_D_REC_FAV,0.067215
S_A_REC_DES,P_D_PAS_DES,0.066667
S_A_REC_DES,P_D_PAS_FAV,0.066667
S_M_PER_FAV,P_D_REC_FAV,0.066631
P_A_PER_DES,P_D_PAS_DES,0.066013
S_A_PAS_DES,S_M_PER_DES,0.065574
P_D_PER_DES,P_D_PAS_DES,0.065479
S_A_PAS_FAV,S_M_PER_FAV,0.065217
S_D_REC_NEU,S_M_PER_NEU,0.065089
S_D_PER_DES,P_M_REC_DES,0.064266
P_A_FIN_NEU,P_D_PER_DES,0.064125
S_A_REC_NEU,P_D_REC_FAV,0.062500
S_A_REC_NEU,S_A_FIN_NEU,0.062500
S_A_REC_NEU,S_A_REC_NEU,0.062500
S_D_PER_NEU,P_A_REC_FAV,0.062402
S_D_PER_NEU,P_M_PAS_DES,0.062402
P_A_PER_NEU,P_D_REC_FAV,0.062186
P_A_PER_DES,P_D_REC_FAV,0.061961
P_M_PER_NEU,P_M_REC_NEU,0.061500
S_A_PER_DES,P_D_PER_FAV,0.061047
P_M_REC_FAV,P_A_PAS_FAV,0.060915
P_M_REC_DES,P_A_PAS_DES,0.060103
S_D_PER_FAV,P_M_PER_FAV,0.059899
P_D_PER_NEU,P_M_PAS_DES,0.059193
P_A_FIN_NEU,P_D_PAS_DES,0.058925
P_M_FIN_FAV,P_D_PER_DES,0.058824
P_M_FIN_FAV,P_D_PER_NEU,0.058824
S_M_PER_NEU,P_D_PAS_FAV,0.057828
S_D_PER_DES,P_A_PAS_DES,0.057429
S_A_REC_DES,P_D_REC_FAV,0.057143
S_M_PER_NEU,P_M_REC_NEU,0.056417
P_M_PER_NEU,P_M_PAS_FAV,0.056000
P_M_PER_DES,P_D_PAS_DES,0.055745
P_A_PER_DES,S_D_REC_FAV,0.055294
P_D_PER_DES,P_M_REC_DES,0.055003
P_A_PER_FAV,P_D_PER_FAV,0.054850
P_M_PER_NEU,P_D_PAS_FAV,0.054000
S_M_PAS_NEU,S_D_PER_NEU,0.053763
S_M_REC_DES,P_M_REC_DES,0.053571
S_M_PER_DES,P_M_PER_FAV,0.053136
S_M_REC_NEU,P_M_PAS_FAV,0.052632
S_D_PER_FAV,P_D_PAS_FAV,0.052561
P_M_PER_FAV,S_M_PER_FAV,0.052119
S_M_REC_DES,P_M_PAS_FAV,0.052083
S_A_PER_FAV,P_D_PAS_DES,0.051240
S_M_PER_DES,P_M_PER_DES,0.050087
P_A_FIN_DES,P_M_PAS_DES,0.050053
S_A_FIN_FAV,P_M_PAS_DES,0.050000
P_M_PER_FAV,P_D_REC_FAV,0.049949
S_D_PER_NEU,P_M_REC_NEU,0.049922
S_A_PER_DES,P_D_PER_DES,0.049419
