from_state,to_state,probability
P_A_REC,P_D_REC,0.014387
P_M_PAS,P_D_PER,0.014154
P_D_PER,S_D_REC,0.013844
S_M_REC,S_D_PER,0.013739
P_D_PER,P_A_PER,0.013618
S_A_PER,S_A_PER,0.012797
S_A_PER,S_M_PER,0.012797
S_M_REC,P_D_REC,0.012758
S_M_PER,S_M_PER,0.012495
S_M_PAS,P_D_PAS,0.012104
S_A_FIN,S_M_PER,0.011905
S_M_PER,P_A_REC,0.011726
S_A_PAS,P_D_PER,0.011719
P_M_PER,P_A_PER,0.011651
P_A_FIN,S_D_PER,0.011541
S_D_PAS,P_M_PER,0.011401
S_A_REC,S_A_REC,0.011086
S_A_PER,P_A_PAS,0.010969
S_M_REC,P_A_REC,0.010795
S_A_PER,P_M_PER,0.010360
S_D_REC,P_M_REC,0.010303
P_A_PER,P_M_PER,0.010209
P_A_REC,S_D_PER,0.009628
S_M_PAS,P_D_REC,0.009612
P_M_PAS,P_A_FIN,0.009159
S_A_REC,P_A_REC,0.008869
S_D_PAS,P_M_REC,0.008551
P_A_REC,P_D_PER,0.008411
P_A_PER,S_M_REC,0.007996
P_A_FIN,S_D_PAS,0.007864
S_M_PER,P_A_PER,0.007497
S_D_REC,S_D_REC,0.007359
S_D_PER,S_D_PER,0.007356
S_D_PAS,P_D_PER,0.007235
P_M_REC,P_A_FIN,0.006802
S_D_PAS,P_A_REC,0.006797
S_D_REC,P_D_REC,0.006705
S_A_REC,P_M_PER,0.006652
S_M_PER,S_M_REC,0.006632
S_M_PAS,P_A_PER,0.006408
S_D_PER,S_D_REC,0.006389
P_M_REC,S_M_PER,0.006327
S_M_REC,P_A_PAS,0.006215
S_D_PAS,P_A_PAS,0.006139
P_M_REC,S_M_REC,0.006090
S_D_PER,S_M_PER,0.006001
P_A_REC,P_M_PER,0.005865
P_A_REC,P_M_REC,0.005865
P_D_PER,S_A_PAS,0.005820
S_M_REC,S_A_FIN,0.005561
S_M_REC,S_M_REC,0.005561
P_A_REC,S_D_PAS,0.005533
S_A_PER,P_A_REC,0.005484
P_A_PER,S_M_PER,0.005395
S_M_REC,P_A_PER,0.005234
S_D_REC,P_D_PAS,0.005070
S_D_REC,P_M_PER,0.005070
S_D_PAS,P_A_PER,0.005043
P_M_REC,P_D_PER,0.004745
P_A_PAS,P_D_PAS,0.004437
S_A_REC,P_A_PAS,0.004435
S_A_REC,S_M_PAS,0.004435
P_D_REC,P_D_REC,0.004357
S_D_PER,P_A_FIN,0.004356
S_M_PAS,P_D_PER,0.004272
P_A_FIN,P_A_FIN,0.004188
P_D_REC,P_A_PAS,0.004046
P_A_FIN,P_M_PER,0.003983
S_A_PAS,P_A_FIN,0.003906
S_A_PAS,P_A_PER,0.003906
S_A_PAS,P_M_PAS,0.003906
S_A_PAS,S_A_FIN,0.003906
S_A_PAS,S_A_PAS,0.003906
S_D_PAS,P_D_PAS,0.003727
S_M_REC,P_D_PER,0.003598
S_A_PER,S_M_REC,0.003047
S_M_PER,S_M_PAS,0.002884
P_A_PER,S_M_PAS,0.002739
S_D_REC,S_A_PER,0.002617
P_A_PAS,P_A_REC,0.002491
P_M_PER,S_A_REC,0.002458
S_A_PER,S_A_PAS,0.002438
S_A_PER,S_M_PAS,0.002438
S_D_PER,S_M_REC,0.002420
P_A_FIN,S_M_REC,0.002349
P_M_REC,P_D_REC,0.002294
