from_id,to_id,kind,cause,is_restart,count
49,4,flip,ball_recovery,False,850
5,62,flip,other,False,832
15,39,flip,restart_throw_in,True,825
84,86,intra,,False,820
15,68,flip,ball_recovery,False,818
87,86,intra,,False,816
44,15,intra,,False,808
102,101,intra,,False,801
86,87,intra,,False,801
43,10,flip,other,False,796
86,33,flip,pressure_loss,False,793
9,44,flip,restart_throw_in,True,789
10,49,intra,,False,785
68,67,intra,,False,780
10,62,flip,pressure_loss,False,767
18,39,intra,,False,766
39,97,flip,other,False,766
68,15,flip,foul_won,False,764
86,50,flip,restart_corner,True,761
15,38,flip,ball_recovery,False,761
86,84,intra,,False,754
44,97,flip,bad_pass,False,745
50,15,intra,,False,743
86,16,flip,restart_corner,True,742
22,32,intra,,False,741
23,26,intra,,False,735
43,10,flip,restart_throw_in,True,723
9,44,flip,other,False,719
15,39,flip,other,False,716
16,26,intra,,False,712
16,49,intra,,False,709
22,49,intra,,False,703
10,62,flip,bad_pass,False,701
102,49,flip,foul_won,False,696
84,32,flip,clearance_conceded,False,694
50,26,intra,,False,693
1,22,intra,,False,690
102,50,flip,restart_corner,True,688
43,97,flip,dispossessed,False,685
18,5,intra,,False,685
100,50,flip,restart_throw_in,True,681
94,43,flip,pressure_loss,False,678
33,86,flip,other,False,676
97,96,intra,,False,674
9,62,flip,dispossessed,False,667
62,61,intra,,False,665
44,97,flip,pressure_loss,False,660
94,98,intra,,False,659
27,4,intra,,False,656
59,63,intra,,False,653
9,43,flip,ball_recovery,False,642
68,16,flip,restart_corner,True,640
1,62,flip,pressure_loss,False,639
14,68,flip,pressure_loss,False,638
43,9,flip,ball_recovery,False,634
56,56,intra,,False,629
12,10,intra,,False,626
83,32,flip,pressure_loss,False,622
43,97,flip,interception,False,621
49,22,flip,restart_goal_kick,True,614
48,102,flip,pressure_loss,False,613
59,9,flip,pressure_loss,False,613
66,16,flip,restart_throw_in,True,613
27,38,intra,,False,611
26,27,flip,other,False,609
23,86,flip,pressure_loss,False,608
5,56,flip,other,False,607
39,49,intra,,False,601
9,62,flip,interception,False,598
35,22,intra,,False,585
43,95,flip,pressure_loss,False,578
